attribute,canonical_value,aliases
fuel_type,Petrol,"petrol|gasoline|gas"
fuel_type,Diesel,"diesel"
fuel_type,Electric,"electric|ev|bev"
fuel_type,Hybrid,"hybrid|phev"
transmission,Automatic,"automatic|auto"
transmission,Manual,"manual|stick"
body_type,SUV,"suv|sport utility vehicle"
body_type,Hatchback,"hatchback|hatch"
body_type,Saloon,"saloon|sedan"
body_type,Estate,"estate|wagon"
employment_status,Employed,"employed|full time|part time"
employment_status,Self-Employed,"self employed|self-employed|contractor"
employment_status,Unemployed,"unemployed|between jobs"
part_exchange,Yes,"yes|trade in|part exchange"
part_exchange,No,"no|none"
