interaction_id,date,icp,pain_area,duration_min,score
c0a21833-ec2e-4720-b33b-63bbbd0cc11d,2026-04-02,Student,Budget,31,0.36
94fa7e9d-5d25-46b3-b3a3-e0476eb67ba5,2026-03-14,Student,Financing,34,-0.66
b4c04ec9-984a-458d-8666-de9fbe0b8634,2026-05-04,Business,Budget,25,0.79
fcbe3ae7-fb98-4077-b148-7627aee44620,2026-03-15,Family,Economy,5,-0.79
6fe06523-ed83-4ff6-a4d9-e86f451fe58c,2026-04-22,Student,Budget,30,-0.24
05ddbe69-1785-4975-85fb-6eca21fdf83f,2026-03-17,Student,Budget,28,-0.26
60e8b778-fcb5-456b-a32a-78477868940b,2026-04-28,Low Income,Economy,31,-0.84
759aa0bb-0ab0-4e11-813a-c503aa6a69d5,2026-02-22,Large Family,Right Vehicle,37,0.25
08256c8f-c14b-4bf5-853a-63966f1dae98,2026-04-04,Student,Economy,3,-0.26
442592a5-0118-499d-81b5-29446c0393ed,2026-04-18,Couple,Right Vehicle,16,0.18
c14783d3-1a05-436b-8119-7f0e60db0ae0,2026-02-23,Business,Budget,8,0.43
2f0f5d38-550e-49eb-97be-1105fce8ac10,2026-04-15,Business,Budget,34,-0.67
c9f2b8ab-274c-4427-baf4-9579b4351a04,2026-04-06,Family,Financing,37,0.27
760f42bb-547c-49a5-a1ff-ddcb151f6858,2026-04-24,Couple,Economy,5,0.27
d5adb199-2218-4510-845f-c2e067e92e97,2026-04-06,Couple,Right Vehicle,18,-0.23
2eedfacc-e6d7-4fc1-b878-f7cff46cd62b,2026-05-03,Couple,Right Vehicle,31,0.11
a6248c46-1834-46fa-b012-009ec867fe64,2026-03-09,Low Income,Financing,23,-0.49
ffd33370-9fe3-4e9f-ad01-db7bc1e3cc51,2026-02-22,Business,Financing,17,0.05
24311654-735f-4b72-a026-e949ca5010f8,2026-03-12,Business,Financing,3,-0.44
c1b76c6a-a602-4b0a-a977-634cb67e88b9,2026-05-22,Couple,Financing,22,-0.97
5bf4080e-d64a-49e5-95a1-201435b0d517,2026-03-26,Couple,Financing,2,-0.14
108a4516-f21e-4109-b86d-44909226224d,2026-04-12,Business,Right Vehicle,35,0.3
57b01778-583c-4dbb-907c-97a9b7e1ba62,2026-03-17,Couple,Budget,18,0.83
e3e844b8-c9d8-4fb7-a536-fcc7bddfeec0,2026-04-26,Student,Budget,40,0.67
36f3e0f2-c772-4988-a8e3-1568dc67df25,2026-02-27,Large Family,Right Vehicle,33,0.21
