interaction_id,date,month_bucket,icp,pain_area,duration_min,score
5436354d-819f-461a-acfc-a104202f9a1b,2026-04-13,2026-04,Couple,Economy,21,-0.92
b6bc085f-ad26-4aee-b9ee-a84894f4569c,2026-04-05,2026-04,Family,Economy,35,0.61
977f7dbb-0bc1-4d44-a005-44558653db96,2026-04-21,2026-04,Couple,Budget,14,-0.72
57474175-d024-40f7-9354-764f6dd3969c,2026-04-17,2026-04,Family,Budget,3,0.36
81aa9f7b-082c-42bc-abf5-29a9e67ff524,2026-04-14,2026-04,Low Income,Right Vehicle,27,0.12
e0752a60-4ec1-48c7-b1e3-51d313cf9693,2026-04-29,2026-04,Student,Availability,36,-0.47
623df353-4515-4b8d-a9da-34f8576ec4be,2026-04-15,2026-04,Low Income,Budget,36,0.3
66d66665-209f-443b-bcfa-ae8d8d269419,2026-04-29,2026-04,Family,Budget,9,-0.98
e1d9d175-5ef9-4c54-be10-e4b30326fb4f,2026-04-28,2026-04,Large Family,Financing,24,0.93
3135cb80-7769-4133-aaac-5d1c494c44f3,2026-04-17,2026-04,Large Family,Financing,10,-0.44
4f24757c-b851-4fe9-9a4d-11e479d1f828,2026-04-08,2026-04,Student,Economy,15,0.42
b1cc0398-1d34-4c2c-b121-a52f1368aba8,2026-04-01,2026-04,Family,Financing,14,0.52
7c411871-ba7b-43c0-90e9-a78f7ece2ad0,2026-04-08,2026-04,Large Family,Economy,39,0.12
825994bb-d5ba-4573-b58e-a03cdb2572d0,2026-04-04,2026-04,Couple,Right Vehicle,27,0.52
ba482719-8dc2-45ef-9756-11ba235d7de8,2026-04-08,2026-04,Student,Availability,25,-0.47
4961fa76-9f11-40cc-a2fc-010bda9cf6de,2026-04-05,2026-04,Student,Economy,37,-0.44
b3580757-d934-45c2-a9bc-dea70b484594,2026-04-24,2026-04,Large Family,Economy,17,0.6
b0651dc6-efb8-43ad-9f92-bb5ce504407a,2026-04-24,2026-04,Large Family,Financing,24,-0.38
51583dfe-0559-455a-9663-fbac75d5d97d,2026-04-24,2026-04,Low Income,Right Vehicle,21,0.07
f2b1e00c-ca07-4338-ae3e-7d3a60dea811,2026-04-24,2026-04,Family,Budget,31,-0.28
1f03e4e1-9c8f-4ad4-8def-1f2d173f2af1,2026-04-08,2026-04,Couple,Right Vehicle,16,0.27
6bb4c2be-9b25-4238-8027-6e7fe34507b2,2026-04-17,2026-04,Family,Economy,36,-0.7
cc76d82a-d993-44f9-b1b9-ceacc697dedc,2026-04-03,2026-04,Large Family,Right Vehicle,27,-0.89
f68ac9f2-2838-4f82-83cd-ddbecf809ad6,2026-04-12,2026-04,Business,Budget,11,0.89
08d125de-a8ec-44b3-a3c4-42398198d07a,2026-04-03,2026-04,Business,Financing,20,-0.36
2a9428bf-1ac4-4d4e-8b66-10f8222bc680,2026-04-16,2026-04,Low Income,Economy,14,0.92
d0705793-b948-4d11-b514-d11ce2a4dfde,2026-04-11,2026-04,Family,Availability,39,-0.9
e6d0fa89-38ab-4eeb-a040-6669b5eb11af,2026-04-13,2026-04,Student,Financing,17,-0.15
7bdc5b09-37a9-474a-a277-cccbafbbc882,2026-04-19,2026-04,Large Family,Budget,40,0.63
dae8170b-46af-4936-9dcc-e9757427c8b7,2026-04-28,2026-04,Large Family,Economy,14,0.7
c6366e8a-f3a1-4b5e-9e26-9aab5a9cc099,2026-04-12,2026-04,Couple,Financing,23,0.74
a34f9291-231f-4ecb-818a-21e38b11292d,2026-04-01,2026-04,Low Income,Financing,13,-0.52
a45ebf9f-856c-4de7-9660-b2f8191c8c00,2026-04-23,2026-04,Large Family,Availability,14,-0.45
0319dd82-f8c7-4325-b7f1-ad3a72bd1f3d,2026-04-01,2026-04,Business,Budget,30,-0.37
c193a15a-b5e6-412e-8bda-2acb065289ff,2026-04-30,2026-04,Business,Financing,26,0.96
b8fd5681-3846-4557-9645-f7fdd8ba3e41,2026-04-26,2026-04,Low Income,Economy,33,0.06
0ea2e8c2-6099-424a-8372-022f5a94c25e,2026-04-01,2026-04,Large Family,Financing,38,0.26
19402fc0-d695-4133-821c-16d269529d3c,2026-04-18,2026-04,Student,Budget,10,0.82
a7513887-27d3-46aa-b459-caa181496196,2026-04-21,2026-04,Business,Right Vehicle,29,0.25
80f513e6-c6b8-4206-9d47-a72b3527d2d1,2026-04-24,2026-04,Family,Economy,14,-0.92
ddd2dc1f-3242-4079-8563-86f0d34b2d52,2026-04-03,2026-04,Family,Economy,24,0.95
d29cfd80-d002-42cf-8c8a-cbfaf69041f1,2026-04-05,2026-04,Student,Financing,38,-0.43
028719b3-ad89-4ea3-83b6-bfe8190ef2ad,2026-04-14,2026-04,Low Income,Availability,18,0.72
eb97b333-e0d0-4f45-87a9-a4adacb538a0,2026-04-12,2026-04,Couple,Availability,3,-0.94
91fcb648-06b6-4bb1-a8b4-8686d0528d9f,2026-04-28,2026-04,Large Family,Availability,25,-0.2
161c3e21-92ef-4960-93c1-321f8af4116e,2026-04-30,2026-04,Business,Right Vehicle,24,0.27
751199b6-9f44-4e39-a81c-fe0cddbb9788,2026-04-15,2026-04,Business,Availability,5,0.45
0838d83b-3bd2-4e27-b36b-55ae50f61a9d,2026-04-08,2026-04,Family,Financing,3,0.84
84e7b655-5e43-4362-b04b-66e1ec24b5c1,2026-04-09,2026-04,Family,Right Vehicle,31,-0.73
5ab9f1b8-9fa8-41d1-8b52-f719eaf0aa1c,2026-04-03,2026-04,Student,Right Vehicle,9,-0.79
a0058987-61d5-483e-9879-2853128b1d6b,2026-04-25,2026-04,Student,Availability,39,0.22
c74329cc-f784-451a-b98b-b47cb8dc4217,2026-04-06,2026-04,Couple,Right Vehicle,9,0.27
89ffcc11-7aa8-4f09-a91c-35dde92072aa,2026-04-13,2026-04,Family,Economy,31,-0.23
2b780627-c56f-45cd-a2ee-377ce2501969,2026-04-30,2026-04,Student,Availability,6,-0.19
67e05779-3ea1-40f4-ba66-56bbefa7428b,2026-04-04,2026-04,Large Family,Right Vehicle,19,0.59
ad4fb512-7081-4a4c-abe0-6af702f90b1e,2026-04-30,2026-04,Low Income,Availability,16,0.44
a8245e73-5ead-46aa-bfee-032500a3048f,2026-04-08,2026-04,Student,Financing,28,0.01
275192a2-c0e8-4bb5-8eab-48afc959b6ec,2026-04-08,2026-04,Family,Right Vehicle,17,0.68
ae5c0041-db48-40c6-8708-81938dd7af12,2026-04-20,2026-04,Business,Financing,10,-0.87
a7ff0ee9-7811-4ae2-9a0b-331cb1ebd970,2026-04-09,2026-04,Large Family,Budget,36,0.2
4739f328-560b-4cb7-8998-4c7765806239,2026-04-11,2026-04,Business,Financing,30,0.76
4c4c04a5-6b46-4f0b-b15e-6593f2e06744,2026-04-14,2026-04,Couple,Financing,17,-0.16
5ac42f39-3035-42c6-a77b-2e3d6701388a,2026-04-26,2026-04,Business,Availability,33,0.73
be5dfec2-5877-44fb-b4bb-95c6aa69118d,2026-04-25,2026-04,Business,Availability,28,0.78
1ca68f91-22d5-4a0c-8a38-92f42597abd5,2026-04-09,2026-04,Business,Budget,7,0.15
0641ca2c-727d-48ea-9c25-e2fd3340f1aa,2026-04-18,2026-04,Couple,Availability,33,-0.02
3882ffc9-d294-4c13-a0f1-9ebc02ab8260,2026-04-05,2026-04,Family,Financing,4,-0.04
2ebaa59a-6c08-40a4-9f05-e86231d168a7,2026-04-06,2026-04,Family,Financing,5,-0.7
ddf49b29-11eb-4fc6-a6c0-dfc70755b08d,2026-04-11,2026-04,Family,Right Vehicle,10,-0.14
626ba11a-f398-491a-963f-66b1ecf96e31,2026-04-18,2026-04,Family,Budget,23,-0.71
